question,answer
"Hi","Hello! How can I assist you with your banking needs today?"
"வணக்கம்","வணக்கம்! உங்கள் வங்கித் தேவைகளுக்கு நான் எவ்வாறு உதவ முடியும்?"
"Hello","Hi! Need help with anything about your bank account, loan, or services?"
"loan","We offer personal, home, education, and vehicle loans. What kind of loan do you need info about?"
"கடன்","நாங்கள் தனிப்பட்ட கடன், வீட்டுக் கடன், கல்விக் கடன் மற்றும் வாகனக் கடன்களை வழங்குகிறோம். உங்களுக்கு எந்த வகையான கடன் தகவல் தேவை?"
"home loan","To apply for a home loan, please visit your nearest branch or apply online. Interest rates start at 8.5%."
"வீட்டுக் கடன்","வீட்டுக் கடனுக்கு விண்ணப்பிக்க, தயவுசெய்து உங்கள் அருகிலுள்ள கிளைக்குச் செல்லவும் அல்லது ஆன்லைனில் விண்ணப்பிக்கவும். வட்டி விகிதம் 8.5% முதல் தொடங்குகிறது."
"personal loan","You can apply online or at a branch with income proof, ID, and PAN card. Tenure ranges up to 5 years."
"தனிப்பட்ட கடன்","நீங்கள் ஆன்லைனில் அல்லது கிளையில் வருமானச் சான்று, அடையாள அட்டை மற்றும் பான் கார்டுடன் விண்ணப்பிக்கலாம். கடன் காலம் 5 ஆண்டுகள் வரை."
"loan documents","You'll need ID proof, income proof, address proof, and a filled application form."
"கடன் ஆவணங்கள்","உங்களுக்கு அடையாளச் சான்று, வருமானச் சான்று, முகவரிச் சான்று மற்றும் பூர்த்தி செய்யப்பட்ட விண்ணப்பப் படிவம் தேவை."
"loan interest rate","Our loan interest rates start from 8.5% depending on the type and amount."
"கடன் வட்டி விகிதம்","எங்கள் கடன் வட்டி விகிதங்கள் வகை மற்றும் தொகையைப் பொறுத்து 8.5% முதல் தொடங்குகிறது."
"credit card","We offer a range of credit cards with reward points and cashback. You can apply online or at a branch."
"கிரெடிட் கார்டு","நாங்கள் ரிவார்டு பாயிண்ட்கள் மற்றும் கேஷ்பேக்குடன் பல்வேறு கிரெடிட் கார்டுகளை வழங்குகிறோம். நீங்கள் ஆன்லைனில் அல்லது கிளையில் விண்ணப்பிக்கலாம்."
"credit card apply","You can apply through our website or mobile app. Eligibility depends on your income and credit score."
"கிரெடிட் கார்டு விண்ணப்பம்","எங்கள் இணையதளம் அல்லது மொபைல் ஆப் மூலம் விண்ணப்பிக்கலாம். தகுதி உங்கள் வருமானம் மற்றும் கிரெடிட் ஸ்கோரைப் பொறுத்தது."
"credit card lost","Report it immediately via customer care or mobile app. A replacement will be issued."
"கிரெடிட் கார்டு தொலைந்தது","வாடிக்கையாளர் உதவி அல்லது மொபைல் ஆப் மூலம் உடனடியாகப் புகாரளிக்கவும். மாற்று அட்டை வழங்கப்படும்."
"ATM withdrawal limit","The daily ATM withdrawal limit is ₹25,000 for savings accounts. Higher limits for premium accounts."
"ஏடிஎம் எடுப்பு வரம்பு","சேமிப்புக் கணக்குகளுக்கு தினசரி ஏடிஎம் எடுப்பு வரம்பு ₹25,000 ஆகும். பிரீமியம் கணக்குகளுக்கு அதிக வரம்புகள்."
"ATM card blocked","If your ATM card is blocked, contact customer service or visit the branch to reactivate or replace it."
"ஏடிஎம் கார்டு தடுக்கப்பட்டது","உங்கள் ஏடிஎம் கார்டு தடுக்கப்பட்டால், வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும் அல்லது அதை மீண்டும் செயல்படுத்த அல்லது மாற்ற கிளைக்குச் செல்லவும்."
"forgot password","Click on 'Forgot Password' on the login screen of online banking to reset it."
"what are documents need to loan apply","You'll need ID proof, income proof, address proof, and a filled application form."
"கடன் விண்ணப்பிக்க என்னென்ன ஆவணங்கள் தேவை?","உங்களுக்கு அடையாள சான்று, வருமான சான்று, முகவரி சான்று மற்றும் பூர்த்தி செய்யப்பட்ட விண்ணப்பப் படிவம் தேவைப்படும்."
"கடவுச்சொல் மறந்தது","அதை மீட்டமைக்க ஆன்லைன் பேங்கிங்கின் உள்நுழைவுத் திரையில் 'மறந்த கடவுச்சொல்' என்பதைக் கிளிக் செய்யவும்."
"reset password","You can reset your online banking password using your registered email or mobile number."
"கடவுச்சொல்லை மீட்டமை","உங்கள் பதிவுசெய்யப்பட்ட மின்னஞ்சல் அல்லது மொபைல் எண்ணைப் பயன்படுத்தி உங்கள் ஆன்லைன் பேங்கிங் கடவுச்சொல்லை மீட்டமைக்கலாம்."
"savings account","A savings account helps you earn interest on your balance. Minimum balance: ₹500."
"சேமிப்புக் கணக்கு","ஒரு சேமிப்புக் கணக்கு உங்கள் இருப்புக்கு வட்டி ஈட்ட உதவுகிறது. குறைந்தபட்ச இருப்பு: ₹500."
"account balance","You can check your balance using mobile banking, net banking, or by calling customer care."
"கணக்கு இருப்பு","மொபைல் பேங்கிங், நெட் பேங்கிங் அல்லது வாடிக்கையாளர் உதவியை அழைப்பதன் மூலம் உங்கள் இருப்பைச் சரிபார்க்கலாம்."
"minimum balance","The minimum balance for a regular savings account is ₹500. For premium accounts, it's ₹10,000."
"குறைந்தபட்ச இருப்பு","வழக்கமான சேமிப்புக் கணக்கிற்கான குறைந்தபட்ச இருப்பு ₹500 ஆகும். பிரீமியம் கணக்குகளுக்கு, இது ₹10,000."
"bank hours","Our branches operate from 9 AM to 4 PM, Monday to Friday."
"வங்கி நேரம்","எங்கள் கிளைகள் திங்கள் முதல் வெள்ளி வரை காலை 9 மணி முதல் மாலை 4 மணி வரை இயங்கும்."
"cheque book","You can request a new cheque book via net banking or at your branch."
"காசோலை புத்தகம்","நெட் பேங்கிங் மூலமாகவோ அல்லது உங்கள் கிளையிலோ புதிய காசோலைப் புத்தகத்தைக் கோரலாம்."
"IFSC code","You can find your branch's IFSC code on your cheque book or by searching on our website."
"IFSC குறியீடு","உங்கள் கிளையின் IFSC குறியீட்டை உங்கள் காசோலைப் புத்தகத்தில் அல்லது எங்கள் இணையதளத்தில் தேடுவதன் மூலம் காணலாம்."
"NEFT timing","NEFT is available from 8 AM to 7 PM on working days. Online NEFT is available 24x7."
"NEFT நேரம்","NEFT வேலை நாட்களில் காலை 8 மணி முதல் மாலை 7 மணி வரை கிடைக்கும். ஆன்லைன் NEFT 24x7 கிடைக்கும்."
"RTGS vs NEFT","RTGS is for high-value transfers (₹2 lakhs+), while NEFT is for lower-value transfers."
"RTGS vs NEFT","RTGS அதிக மதிப்பு பரிமாற்றங்களுக்கு (₹2 லட்சம்+), NEFT குறைந்த மதிப்பு பரிமாற்றங்களுக்கு."
"fixed deposit","Our fixed deposits offer up to 7.5% interest. Lock-in periods range from 7 days to 10 years."
"நிலையான வைப்பு","எங்கள் நிலையான வைப்புகள் 7.5% வரை வட்டியை வழங்குகின்றன. பூட்டு காலங்கள் 7 நாட்கள் முதல் 10 ஆண்டுகள் வரை."
"recurring deposit","With RD, you can invest monthly and earn interest. Start with as low as ₹500 per month."
"மறுநிகழ்வு வைப்பு","RD மூலம், நீங்கள் மாதந்தோறும் முதலீடு செய்யலாம் மற்றும் வட்டி ஈட்டலாம். மாதம் ₹500 முதல் தொடங்குங்கள்."
"bank branch near me","Please use our branch locator tool online or in the mobile app to find the nearest branch."
"அருகிலுள்ள வங்கிக் கிளை","அருகிலுள்ள கிளையைக் கண்டுபிடிக்க எங்கள் இணையதளம் அல்லது மொபைல் ஆப்பில் உள்ள கிளை லொக்கேட்டர் கருவியைப் பயன்படுத்தவும்."
"lost card","Block your card immediately through net banking, mobile banking, or by calling our helpline."
"அட்டை இழந்தது","நெட் பேங்கிங், மொபைல் பேங்கிங் மூலமாகவோ அல்லது எங்கள் உதவி எண்ணை அழைப்பதன் மூலமாகவோ உங்கள் அட்டையை உடனடியாகத் தடுக்கவும்."
"mobile banking","Download our mobile banking app from the Play Store or App Store to access services 24x7."
"மொபைல் பேங்கிங்","சேவைகளை 24x7 அணுக Play Store அல்லது App Store இலிருந்து எங்கள் மொபைல் பேங்கிங் ஆப்பைப் பதிவிறக்கவும்."
"update phone number","Visit your nearest branch with ID proof to update your mobile number."
"தொலைபேசி எண்ணைப் புதுப்பிக்க","உங்கள் மொபைல் எண்ணைப் புதுப்பிக்க அடையாளச் சான்றுடன் உங்கள் அருகிலுள்ள கிளைக்குச் செல்லவும்."
"KYC update","Bring your Aadhaar and PAN card to your branch to update KYC details."
"KYC புதுப்பிப்பு","KYC விவரங்களைப் புதுப்பிக்க உங்கள் ஆதார் மற்றும் பான் கார்டை உங்கள் கிளைக்குக் கொண்டு வாருங்கள்."
"pan linking","You can link your PAN through internet banking or by visiting your branch."
"PAN இணைப்பு","இணைய பேங்கிங் மூலமாகவோ அல்லது உங்கள் கிளைக்குச் செல்வதன் மூலமாகவோ உங்கள் PAN ஐ இணைக்கலாம்."
"open account online","Go to our website and click on 'Open Account'. It takes only a few minutes!"
"ஆன்லைனில் கணக்கு திறக்க","எங்கள் இணையதளத்திற்குச் சென்று 'கணக்கைத் திற' என்பதைக் கிளிக் செய்யவும். இது சில நிமிடங்கள் மட்டுமே ஆகும்!"
"customer care number","You can call our 24x7 helpline at 1800-419-2332 for assistance."
"வாடிக்கையாளர் உதவி எண்","உதவிக்கு நீங்கள் எங்கள் 24x7 உதவி எண் 1800-419-2332 ஐ அழைக்கலாம்."
"How do I open a new savings account?","Visit our nearest branch with valid ID and address proof, or apply online through our website."
"புதிய சேமிப்புக் கணக்கை எவ்வாறு திறப்பது?","செல்லுபடியாகும் அடையாளம் மற்றும் முகவரிச் சான்றுடன் எங்கள் அருகிலுள்ள கிளைக்குச் செல்லவும், அல்லது எங்கள் இணையதளம் மூலம் ஆன்லைனில் விண்ணப்பிக்கவும்."
"What documents are required to open a current account?","You'll need valid ID proof, address proof, and business registration documents."
"நடப்புக் கணக்கைத் திறக்க என்ன ஆவணங்கள் தேவை?","உங்களுக்கு செல்லுபடியாகும் அடையாளச் சான்று, முகவரிச் சான்று மற்றும் வணிகப் பதிவு ஆவணங்கள் தேவை."
"Can I convert my savings account to a joint account?","Yes, visit your branch with the joint account holder and necessary documents."
"சேமிப்புக் கணக்கை கூட்டுக் கணக்காக மாற்ற முடியுமா?","ஆம், கூட்டுக் கணக்கு வைத்திருப்பவர் மற்றும் தேவையான ஆவணங்களுடன் உங்கள் கிளைக்குச் செல்லவும்."
"How can I close my bank account?","Submit a written request at your branch along with unused cheques and debit cards."
"எனது வங்கிக் கணக்கை எவ்வாறு மூடுவது?","உங்கள் கிளையில் பயன்படுத்தப்படாத காசோலைகள் மற்றும் டெபிட் கார்டுகளுடன் எழுத்துப்பூர்வ கோரிக்கையைச் சமர்ப்பிக்கவும்."
"How do I register for online banking?","Visit our website, click on 'Register', and follow the instructions using your account details."
"ஆன்லைன் பேங்கிங்கிற்கு எவ்வாறு பதிவு செய்வது?","எங்கள் இணையதளத்தைப் பார்வையிடவும், 'பதிவு' என்பதைக் கிளிக் செய்து, உங்கள் கணக்கு விவரங்களைப் பயன்படுத்தி வழிமுறைகளைப் பின்பற்றவும்."
"I forgot my online banking password. How can I reset it?","Click on 'Forgot Password' on the login page and follow the prompts."
"எனது ஆன்லைன் பேங்கிங் கடவுச்சொல்லை மறந்துவிட்டேன். அதை எவ்வாறு மீட்டமைப்பது?","உள்நுழைவுப் பக்கத்தில் 'மறந்த கடவுச்சொல்' என்பதைக் கிளிக் செய்து, வழிமுறைகளைப் பின்பற்றவும்."
"Is there a fee for using online banking?","No, our online banking services are free of charge."
"ஆன்லைன் பேங்கிங்கைப் பயன்படுத்த கட்டணம் உண்டா?","இல்லை, எங்கள் ஆன்லைன் பேங்கிங் சேவைகள் இலவசம்."
"How can I update my contact information online?","Log in to your account, go to 'Profile Settings', and update your contact details."
"எனது தொடர்புத் தகவலை ஆன்லைனில் எவ்வாறு புதுப்பிப்பது?","உங்கள் கணக்கில் உள்நுழைந்து, 'சுயவிவர அமைப்புகள்' என்பதற்குச் சென்று, உங்கள் தொடர்பு விவரங்களைப் புதுப்பிக்கவும்."
"Can I set up recurring payments through online banking?","Yes, you can schedule recurring payments under the 'Payments' section."
" செலுத்துவதை அமைக்க முடியுமா?","ஆம், 'பணம் செலுத்துதல்' பிரிவின் கீழ் மீண்டும் மீண்டும் பணம் செலுத்துவதை திட்டமிடலாம்."
"How do I download the mobile banking app?","Search for our bank's app in the App Store or Google Play Store and download it."
"மொபைல் பேங்கிங் ஆப்பை எவ்வாறு பதிவிறக்குவது?","App Store அல்லது Google Play Store இல் எங்கள் வங்கியின் ஆப்பைத் தேடி பதிவிறக்கவும்."
"Is mobile banking secure?","Yes, our app uses advanced encryption and security measures to protect your information."
"மொபைல் பேங்கிங் பாதுகாப்பானதா?","ஆம், எங்கள் ஆப் உங்கள் தகவலைப் பாதுகாக்க மேம்பட்ட குறியாக்கம் மற்றும் பாதுகாப்பு நடவடிக்கைகளைப் பயன்படுத்துகிறது."
"Can I deposit checks using mobile banking?","Yes, use the 'Mobile Deposit' feature to deposit checks by taking a photo."
"மொபைல் பேங்கிங்கைப் பயன்படுத்தி காசோலைகளை டெபாசிட் செய்ய முடியுமா?","ஆம், புகைப்படம் எடுப்பதன் மூலம் காசோலைகளை டெபாசிட் செய்ய 'மொபைல் டெபாசிட்' அம்சத்தைப் பயன்படுத்தவும்."
"What should I do if I lose my phone with the banking app installed?","Contact customer service immediately to disable mobile access and monitor your account."
"பேங்கிங் ஆப் நிறுவப்பட்ட என் போனை இழந்தால் நான் என்ன செய்ய வேண்டும்?","மொபைல் அணுகலை முடக்கவும் உங்கள் கணக்கைக் கண்காணிக்கவும் உடனடியாக வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்."
"Are there any fees for using the mobile banking app?","No, the app is free, but standard data charges from your carrier may apply."
"மொபைல் பேங்கிங் ஆப்பைப் பயன்படுத்த ஏதேனும் கட்டணம் உண்டா?","இல்லை, ஆப் இலவசம், ஆனால் உங்கள் கேரியரின் நிலையான தரவுக் கட்டணங்கள் பொருந்தும்."
"How can I apply for a personal loan?","Apply online through our website or visit any branch with your ID and income proof."
"தனிப்பட்ட கடனுக்கு எவ்வாறு விண்ணப்பிப்பது?","எங்கள் இணையதளம் மூலம் ஆன்லைனில் விண்ணப்பிக்கவும் அல்லது உங்கள் அடையாளம் மற்றும் வருமானச் சான்றுடன் எந்த கிளைக்கும் செல்லவும்."
"What is the current interest rate for home loans?","Interest rates vary; please check our website or contact a loan officer for current rates."
"வீட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் என்ன?","வட்டி விகிதங்கள் மாறுபடும்; தற்போதைய விகிதங்களுக்கு எங்கள் இணையதளத்தைப் பார்க்கவும் அல்லது கடன் அதிகாரியைத் தொடர்பு கொள்ளவும்."
"What documents are required for a car loan application?","You'll need ID proof, income proof, and details of the vehicle."
"கார் கடன் விண்ணப்பத்திற்கு என்ன ஆவணங்கள் தேவை?","உங்களுக்கு அடையாளச் சான்று, வருமானச் சான்று மற்றும் வாகனத்தின் விவரங்கள் தேவை."
"Can I prepay my loan without penalties?","Some loans allow prepayment without penalties; refer to your loan agreement or ask your loan officer."
"அபராதம் இல்லாமல் எனது கடனை முன்கூட்டியே செலுத்த முடியுமா?","சில கடன்கள் அபராதம் இல்லாமல் முன்கூட்டியே செலுத்த அனுமதிக்கின்றன; உங்கள் கடன் ஒப்பந்தத்தைப் பார்க்கவும் அல்லது உங்கள் கடன் அதிகாரியிடம் கேட்கவும்."
"How is my loan eligibility determined?","Eligibility is based on your income, credit score, employment status, and existing debts."
"எனது கடன் தகுதி எவ்வாறு தீர்மானிக்கப்படுகிறது?","தகுதி என்பது உங்கள் வருமானம், கிரெடிட் ஸ்கோர், வேலை நிலை மற்றும் ஏற்கனவே உள்ள கடன்களின் அடிப்படையில் அமைகிறது."
"How do I apply for a credit card?","Apply online or at any branch with your ID and income proof."
"கிரெடிட் கார்டுக்கு எவ்வாறு விண்ணப்பிப்பது?","உங்கள் அடையாளம் மற்றும் வருமானச் சான்றுடன் ஆன்லைனில் அல்லது எந்த கிளையிலும் விண்ணப்பிக்கவும்."
"What should I do if my credit card is lost or stolen?","Report it immediately through online banking or by calling customer service."
"எனது கிரெடிட் கார்டு தொலைந்துவிட்டால் அல்லது திருடப்பட்டால் நான் என்ன செய்ய வேண்டும்?","ஆன்லைன் பேங்கிங் மூலமாகவோ அல்லது வாடிக்கையாளர் சேவையை அழைப்பதன் மூலமாகவோ உடனடியாகப் புகாரளிக்கவும்."
"How can I increase my credit card limit?","Submit a request throughஆன்லைன் பேங்கிங் மூலம் மீண்டும் மீண்டும் பணம் online banking or contact customer service; approval is based on your credit history."
"எனது கிரெடிட் கார்டு வரம்பை எவ்வாறு அதிகரிப்பது?","ஆன்லைன் பேங்கிங் மூலம் கோரிக்கையைச் சமர்ப்பிக்கவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்; ஒப்புதல் உங்கள் கிரெடிட் வரலாற்றின் அடிப்படையில் அமைகிறது."
"Are there annual fees for credit cards?","Some cards have annual fees; please refer to your card's terms and conditions."
"கிரெடிட் கார்டுகளுக்கு வருடாந்திர கட்டணம் உண்டா?","சில அட்டைகளில் வருடாந்திர கட்டணங்கள் உள்ளன; உங்கள் அட்டையின் விதிமுறைகள் மற்றும் நிபந்தனைகளைப் பார்க்கவும்."
"How do I activate my new debit card?","Use it at any ATM with your PIN or call the activation number provided with the card."
"எனது புதிய டெபிட் கார்டை எவ்வாறு செயல்படுத்துவது?","உங்கள் PIN உடன் எந்த ஏடிஎம்மிலும் இதைப் பயன்படுத்தவும் அல்லது அட்டையுடன் வழங்கப்பட்ட செயல்படுத்தும் எண்ணை அழைக்கவும்."
"What are the charges for international wire transfers?","Fees vary; please refer to our schedule of charges on the website."
"சர்வதேச வயர் பரிமாற்றங்களுக்கான கட்டணங்கள் என்ன?","கட்டணங்கள் மாறுபடும்; தயவுசெய்து இணையதளத்தில் எங்கள் கட்டண அட்டவணையைப் பார்க்கவும்."
"Is there a fee for early withdrawal from a fixed deposit?","Yes, early withdrawal may incur penalties; refer to your deposit agreement."
"நிலையான வைப்புத்தொகையில் இருந்து முன்கூட்டியே திரும்பப் பெற கட்டணம் உண்டா?","ஆம், முன்கூட்டியே திரும்பப் பெறுவது அபராதத்தை ஏற்படுத்தலாம்; உங்கள் வைப்பு ஒப்பந்தத்தைப் பார்க்கவும்."
"Do I get charged for using ATMs of other banks?","Yes, fees may apply after a certain number of free transactions; check our fee schedule."
"மற்ற வங்கிகளின் ஏடிஎம்களைப் பயன்படுத்துவதற்கு நான் கட்டணம் செலுத்த வேண்டுமா?","ஆம், ஒரு குறிப்பிட்ட எண்ணிக்கையிலான இலவச பரிவர்த்தனைகளுக்குப் பிறகு கட்டணங்கள் பொருந்தும்; எங்கள் கட்டண அட்டவணையைச் சரிபார்க்கவும்."
"Are there monthly maintenance fees for accounts?","Some accounts have maintenance fees; details are available on our website."
"கணக்குகளுக்கு மாதாந்திர பராமரிப்பு கட்டணங்கள் உள்ளதா?","சில கணக்குகளில் பராமரிப்பு கட்டணங்கள் உள்ளன; விவரங்கள் எங்கள் இணையதளத்தில் கிடைக்கின்றன."
"How can I avoid overdraft fees?","Monitor your account balance regularly and set up balance alerts through online banking."
"ஓவர் டிராஃப்ட் கட்டணங்களை எவ்வாறு தவிர்ப்பது?","உங்கள் கணக்கு இருப்பைத் தொடர்ந்து கண்காணிக்கவும் மற்றும் ஆன்லைன் பேங்கிங் மூலம் இருப்பு எச்சரிக்கைகளை அமைக்கவும்."
"How can I protect my account from fraud?","Regularly monitor your account, use strong passwords, and enable two-factor authentication."
"மோசடியிலிருந்து எனது கணக்கை எவ்வாறு பாதுகாப்பது?","உங்கள் கணக்கைத் தொடர்ந்து கண்காணிக்கவும், வலுவான கடவுச்சொற்களைப் பயன்படுத்தவும், இரண்டு-காரணி அங்கீகாரத்தை இயக்கவும்."
"What should I do if I suspect fraudulent activity?","Contact customer service immediately to report and investigate any unauthorized transactions."
"மோசடியான செயல்பாடு சந்தேகப்பட்டால் நான் என்ன செய்ய வேண்டும்?","அங்கீகரிக்கப்படாத பரிவர்த்தனைகளைப் புகாரளிக்க மற்றும் விசாரிக்க உடனடியாக வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்."
"Does the bank offer fraud protection services?","Yes, we offer services like transaction alerts and account monitoring."
"வங்கி மோசடி பாதுகாப்பு சேவைகளை வழங்குகிறதா?","ஆம், பரிவர்த்தனை எச்சரிக்கைகள் மற்றும் கணக்கு கண்காணிப்பு போன்ற சேவைகளை நாங்கள் வழங்குகிறோம்."
"How do I set up account alerts?","Log in to online banking, go to 'Alerts', and choose the notifications you wish to receive."
"கணக்கு எச்சரிக்கைகளை எவ்வாறு அமைப்பது?","ஆன்லைன் பேங்கிங்கில் உள்நுழைந்து, 'எச்சரிக்கைகள்' என்பதற்குச் சென்று, நீங்கள் பெற விரும்பும் அறிவிப்புகளைத் தேர்வு செய்யவும்."
"Is my personal information shared with third parties?","We value your privacy and do not share your information without your consent, except as required by law."
"எனது தனிப்பட்ட தகவல் மூன்றாம் தரப்பினருடன் பகிரப்படுகிறதா?","உங்கள் தனியுரிமையை நாங்கள் மதிக்கிறோம் மற்றும் சட்டத்தின் படி தேவைப்படுவதைத் தவிர, உங்கள் சம்மதமின்றி உங்கள் தகவலைப் பகிர மாட்டோம்."
"What are the bank's operating hours?","Our branches operate from 9 AM to 4 PM, Monday to Friday."
"வங்கியின் செயல்பாட்டு நேரம் என்ன?","எங்கள் கிளைகள் திங்கள் முதல் வெள்ளி வரை காலை 9 மணி முதல் மாலை 4 மணி வரை இயங்கும்."
"How can I find the nearest branch or ATM?","Use the 'Branch/ATM Locator' feature on our website or mobile app."
"அருகிலுள்ள கிளை அல்லது ஏடிஎம்மை எவ்வாறு கண்டுபிடிப்பது?","எங்கள் இணையதளம் அல்லது மொபைல் ஆப்பில் உள்ள 'கிளை/ஏடிஎம் லொக்கேட்டர்' அம்சத்தைப் பயன்படுத்தவும்."
"Does the bank offer safe deposit boxes?","Yes, safe deposit boxes are available at select branches; contact your branch for availability."
"வங்கி பாதுகாப்பு டெபாசிட் பெட்டிகளை வழங்குகிறதா?","ஆம், பாதுகாப்பு டெபாசிட் பெட்டிகள் தேர்ந்தெடுக்கப்பட்ட கிளைகளில் கிடைக்கின்றன; கிடைக்கும் தன்மைக்கு உங்கள் கிளையைத் தொடர்பு கொள்ளவும்."
"How do I order new checks?","Order checks through online banking or by visiting your branch."
","ஆன்லைன் பேங்கிங் மூலமாகவோ அல்லது உங்கள் கிளைக்குச் செல்வதன் மூலமாகவோ காசோலைகளை ஆர்டர் செய்யவும்."
"Can I set up direct deposit for my paycheck?","Yes, provide your employer with your account number and our routing number."
"எனது சம்பளத்திற்கு நேரடி டெபாசிட்டை அமைக்க முடியுமா?","ஆம், உங்கள் முதலாளிக்கு உங்கள் கணக்கு எண் மற்றும் எங்கள் ரூட்டிங் எண்ணை வழங்கவும்."
"thank you","You're welcome! Have a great day!"
"நன்றி","நன்றி! உங்களுக்கு நல்ல நாள்!"
"thanks","You're welcome! Have a great day!"
"தேங்க்ஸ்","நன்றி! உங்களுக்கு நல்ல நாள்!"
"bye","Goodbye! Have a great day!"
"பிரியாவிடை","பிரியாவிடை! உங்களுக்கு நல்ல நாள்!"